-0.069448 11.528470 -0.268038 -0.780847 -0.120121 -0.613025 0.024386 0.974780 
-0.077788 11.541277 -0.259558 -0.836756 -0.096225 -0.539018 0.023455 0.974861 
0.000000 12.294659 -0.496416 0.000000 0.919126 -0.393872 0.007690 0.990573 
0.077788 11.541277 -0.259558 0.836756 -0.096225 -0.539018 0.023455 0.974861 
0.069448 11.528470 -0.268038 0.780847 -0.120121 -0.613025 0.024386 0.974780 
-0.086259 11.555178 -0.246199 -0.922544 -0.040223 -0.383740 0.022370 0.974991 
0.086259 11.555178 -0.246199 0.922544 -0.040223 -0.383740 0.022370 0.974991 
-0.092887 11.566599 -0.224384 -0.977874 0.022004 -0.207892 0.021059 0.975093 
-0.094624 11.572653 -0.208893 -0.995392 0.076418 -0.057802 0.020055 0.975190 
0.094624 11.572653 -0.208893 0.995392 0.076418 -0.057802 0.020055 0.975190 
0.092887 11.566599 -0.224384 0.977874 0.022004 -0.207892 0.021059 0.975093 
-0.093665 11.579502 -0.188563 -0.989349 0.125736 0.073183 0.018864 0.975389 
0.093665 11.579502 -0.188563 0.989349 0.125736 0.073183 0.018864 0.975389 
-0.089556 11.586367 -0.165692 -0.969390 0.167760 0.179205 0.017559 0.975696 
0.089556 11.586367 -0.165692 0.969390 0.167760 0.179205 0.017559 0.975696 
-0.081468 11.593279 -0.137007 -0.946471 0.199225 0.253945 0.016027 0.976181 
-0.075445 11.596062 -0.119067 -0.937559 0.209723 0.277444 0.014898 0.976566 
0.075445 11.596062 -0.119067 0.937559 0.209723 0.277444 0.014898 0.976566 
0.081468 11.593279 -0.137007 0.946471 0.199225 0.253945 0.016027 0.976181 
-0.068252 11.596837 -0.094866 -0.926786 0.220679 0.303873 0.013560 0.977086 
0.068252 11.596837 -0.094866 0.926786 0.220679 0.303873 0.013560 0.977086 
-0.059123 11.596219 -0.069243 -0.808618 0.312815 0.498215 0.012159 0.977735 
0.059123 11.596219 -0.069243 0.808618 0.312815 0.498215 0.012159 0.977735 
-0.042210 11.595316 -0.050855 -0.446547 0.447615 0.774712 0.010816 0.978523 
0.000000 11.579774 -0.032554 0.000000 0.472091 0.881527 0.008716 0.980129 
0.042210 11.595316 -0.050855 0.446547 0.447615 0.774712 0.010816 0.978523 
